"date","indicator","value"
"1990-06-01","ASPY",0
"1990-06-04","ASPY",0
"1990-06-05","ASPY",0
"1990-06-06","ASPY",0
"1990-06-07","ASPY",0
"1990-06-08","ASPY",0
"1990-06-11","ASPY",0
"1990-06-12","ASPY",0
"1990-06-13","ASPY",0
"1990-06-14","ASPY",0
"1990-06-15","ASPY",0
"1990-06-18","ASPY",0
"1990-06-19","ASPY",0
"1990-06-20","ASPY",0
"1990-06-21","ASPY",0
"1990-06-22","ASPY",0
"1990-06-25","ASPY",0
"1990-06-26","ASPY",0
"1990-06-27","ASPY",0
"1990-06-28","ASPY",0
"1990-06-29","ASPY",0
"1990-07-02","ASPY",0
"1990-07-03","ASPY",0
"1990-07-05","ASPY",0
"1990-07-06","ASPY",0
"1990-07-09","ASPY",0
"1990-07-10","ASPY",0
"1990-07-11","ASPY",0
"1990-07-12","ASPY",0
"1990-07-13","ASPY",0
"1990-07-16","ASPY",0
"1990-07-17","ASPY",0
"1990-07-18","ASPY",0
"1990-07-19","ASPY",0
"1990-07-20","ASPY",0
"1990-07-23","ASPY",0
"1990-07-24","ASPY",0
"1990-07-25","ASPY",0
"1990-07-26","ASPY",0
"1990-07-27","ASPY",0
"1990-07-30","ASPY",0
"1990-07-31","ASPY",0
"1990-08-01","ASPY",0
"1990-08-02","ASPY",0
"1990-08-03","ASPY",0
"1990-08-06","ASPY",0
"1990-08-07","ASPY",0
"1990-08-08","ASPY",0
"1990-08-09","ASPY",0
"1990-08-10","ASPY",0
"1990-08-13","ASPY",0
"1990-08-14","ASPY",0
"1990-08-15","ASPY",0
"1990-08-16","ASPY",0
"1990-08-17","ASPY",0
"1990-08-20","ASPY",0
"1990-08-21","ASPY",0
"1990-08-22","ASPY",0
"1990-08-23","ASPY",0
"1990-08-24","ASPY",0
"1990-08-27","ASPY",0
"1990-08-28","ASPY",0
"1990-08-29","ASPY",0
"1990-08-30","ASPY",0
"1990-08-31","ASPY",0
"1990-09-04","ASPY",0
"1990-09-05","ASPY",0
"1990-09-06","ASPY",0
"1990-09-07","ASPY",0
"1990-09-10","ASPY",0
"1990-09-11","ASPY",0
"1990-09-12","ASPY",0
"1990-09-13","ASPY",0
"1990-09-14","ASPY",0
"1990-09-17","ASPY",0
"1990-09-18","ASPY",0
"1990-09-19","ASPY",0
"1990-09-20","ASPY",0
"1990-09-21","ASPY",0
"1990-09-24","ASPY",0
"1990-09-25","ASPY",0
"1990-09-26","ASPY",0
"1990-09-27","ASPY",0
"1990-09-28","ASPY",0
"1990-10-01","ASPY",0
"1990-10-02","ASPY",0
"1990-10-03","ASPY",0
"1990-10-04","ASPY",0
"1990-10-05","ASPY",0
"1990-10-08","ASPY",0
"1990-10-09","ASPY",0
"1990-10-10","ASPY",0
"1990-10-11","ASPY",0
"1990-10-12","ASPY",0
"1990-10-15","ASPY",0
"1990-10-16","ASPY",0
"1990-10-17","ASPY",0
"1990-10-18","ASPY",0
